(METAR weather station sites operated by the U.S. Department of Defense)
KAAA – Logan County Airport – Lincoln, Illinois
KAGR – MacDill AFB Auxiliary Field – Avon Park, Florida
KAGS – Augusta Regional Airport at Bush Field – Augusta, Georgia
KAGZ – Wagner Municipal Airport – Wagner, South Dakota
KAHC – Amedee Army Airfield – Herlong, California
KAHH – Amery Municipal Airport – Amery, Wisconsin
KAHN – Athens Ben Epps Airport – Athens, Georgia
KAHQ – Wahoo Municipal Airport – Wahoo, Nebraska
KAIA – Alliance Municipal Airport – Alliance, Nebraska
KAIB – Hopkins-Montrose County Airport – Nucla, Colorado
KAID – Anderson Municipal Airport (Darlington Field) – Anderson, Indiana
KAIG – Langlade County Airport – Antigo, Wisconsin
KAIK – Aiken Municipal Airport – Aiken, South Carolina
KAIO – Atlantic Municipal Airport – Atlantic, Iowa
KAIT – Aitkin Municipal Airport (Steve Kurtz Field) – Aitkin, Minnesota
KAIV – George Downer Airport – Aliceville, Alabama
KAIZ – Lee C. Fine Memorial Airport – Lake Ozark, Missouri
KAJG – Mount Carmel Municipal Airport – Mount Carmel, Illinois
KAJO – Corona Municipal Airport – Corona, California
KAJR – Habersham County Airport – Cornelia, Georgia
KAJZ – Blake Field – Delta, Colorado
KAKH – Gastonia Municipal Airport – Gastonia, North Carolina
KAKO – Colorado Plains Regional Airport – Akron, Colorado
KAKQ – Wakefield Municipal Airport – Wakefield, Virginia
KAKR – Akron Fulton International Airport – Akron, Ohio
KALB – Albany International Airport – Albany, New York
KALI – Alice International Airport – Alice, Texas
KALK – Airstrip west of Libby AAF See KFHU
KALM – Alamogordo-White Sands Regional Airport – Alamogordo, New Mexico
KALN – St. Louis Regional Airport – Alton, Illinois
KALO – Waterloo Regional Airport – Waterloo, Iowa
KALS – San Luis Valley Regional Airport – Alamosa, Colorado
KALW – Walla Walla Regional Airport – Walla Walla, Washington
KALX – Thomas C. Russell Field – Alexander City, Alabama
KAMA – Rick Husband Amarillo International Airport – Amarillo, Texas
KAMG – Bacon County Airport – Alma, Georgia
KAMN – Gratiot Community Airport – Alma, Michigan
KAMT – Alexander Salamon Airport – West Union, Ohio
KAMW – Ames Municipal Airport – Ames, Iowa
KANB – Anniston Regional Airport – Anniston, Alabama
KAND – Anderson Regional Airport – Anderson, South Carolina
KANE – Anoka County-Blaine Airport (Janes Field) – Minneapolis
KANJ – Sault Ste. Marie Municipal Airport (Sanderson Field) – Sault Ste. Marie, Michigan
KANK – Harriet Alexander Field – Salida, Colorado
KANP – Lee Airport – Annapolis, Maryland
KANQ – Tri-State Steuben County Airport – Angola, Indiana
KANW – Ainsworth Regional Airport – Ainsworth, Nebraska
KANY – Anthony Municipal Airport – Anthony, Kansas
KAOC – Arco Butte County Airport – Arco, Idaho
KAOH – Lima Allen County Airport – Lima, Ohio
KAOO – Altoona-Blair County Airport – Altoona, Pennsylvania
KAOV – Ava Bill Martin Memorial Airport – Ava, Missouri
KAPA – Centennial Airport – Centennial, Colorado (near Denver)
KAPC – Napa County Airport – Napa, California
KAPF – Naples Municipal Airport – Naples, Florida
KAPG – Phillips Army Airfield – Aberdeen Proving Ground, Maryland
KAPH – A.P. Hill Army Airfield – Fort A.P. Hill, Virginia
KAPN – Alpena County Regional Airport – Alpena, Michigan
KAPT – Marion County Airport (Brown Field) – Jasper, Tennessee
KAPV – Apple Valley Airport – Apple Valley, California
KAQO – Llano Municipal Airport – Llano, Texas
KAQP – Appleton Municipal Airport – Appleton, Minnesota
KAQR – Atoka Municipal Airport – Atoka, Oklahoma
KAQW – Harriman-and-West Airport – North Adams, Massachusetts
KARA – Acadiana Regional Airport – New Iberia, Louisiana
KARB – Ann Arbor Municipal Airport – Ann Arbor, Michigan
KARG – Walnut Ridge Regional Airport – Walnut Ridge, Arkansas
KARM – Wharton Regional Airport – Wharton, Texas
KARR – Aurora Municipal Airport – Aurora, Illinois
KART – Watertown International Airport – Watertown, New York
KARV – Lakeland Airport (Noble F. Lee Memorial Field) – Minocqua / Woodruff, Wisconsin
KARW – Beaufort County Airport – Beaufort County, South Carolina
KASD – Slidell Airport – Slidell, Louisiana
KASE – Aspen-Pitkin County Airport – Aspen, Colorado
KASG – Springdale Municipal Airport – Springdale, Arkansas
KASH – Boire Field – Nashua, New Hampshire
KASJ – Tri-County Airport – Ahoskie, North Carolina
KASL – Harrison County Airport – Marshall, Texas
KASN – Talladega Municipal Airport – Talladega, Alabama
KAST – Astoria Regional Airport – Astoria, Oregon
KASW – Warsaw Municipal Airport – Warsaw, Indiana
KASX – John F. Kennedy Memorial Airport – Ashland, Wisconsin
KASY – Ashley Municipal Airport – Ashley, North Dakota
KATA – Hall-Miller Municipal Airport – Atlanta, Texas
KATL – Hartsfield-Jackson Atlanta International Airport – Atlanta
KATS – Artesia Municipal Airport – Artesia, New Mexico
KATW – Appleton International Airport – Greenville, Wisconsin (near Appleton)
KATY – Watertown Regional Airport – Watertown, South Dakota
KAUG – Augusta State Airport – Augusta, Maine
KAUH – Aurora Municipal Airport (Al Potter Field) – Aurora, Nebraska
KAUM – Austin Municipal Airport – Austin, Minnesota
KAUN – Auburn Municipal Airport – Auburn, California
KAUO – Auburn University Regional Airport – Auburn, Alabama
KAUS – Austin-Bergstrom International Airport – Austin, Texas
KAUW – Wausau Downtown Airport – Wausau, Wisconsin
KAVC – Mecklenburg-Brunswick Regional Airport – South Hill, Virginia
KAVK – Alva Regional Airport – Alva, Oklahoma
KAVL – Asheville Regional Airport – Fletcher, North Carolina (near Asheville)
KAVO – Avon Park Executive Airport – Avon Park, Florida
KAVP – Wilkes-Barre/Scranton International Airport – Avoca, Pennsylvania
KAVQ – Marana Regional Airport – Marana, Arizona (near Tucson)
KAVX – Catalina Airport – Avalon / Santa Catalina Island, California
KAWG – Washington Municipal Airport – Washington, Iowa
KAWM – West Memphis Municipal Airport – West Memphis, Arkansas
KAWO – Arlington Municipal Airport – Arlington, Washington
KAXA – Algona Municipal Airport – Algona, Iowa
KAXH – Houston Southwest Airport – Houston, Texas
KAXN – Chandler Field – Alexandria, Minnesota
KAXQ – Clarion County Airport – Clarion, Pennsylvania
KAXS – Altus/Quartz Mountain Regional Airport – Altus, Oklahoma
KAXV – Neil Armstrong Airport – Wapakoneta, Ohio
KAXX – Angel Fire Airport – Angel Fire, New Mexico
KAYS – Waycross-Ware County Airport – Waycross, Georgia
KAYX – Arnold Air Force Base – Tullahoma, Tennessee
KAZC – Colorado City Municipal Airport – Colorado City, Arizona
KAZE – Hazlehurst Airport – Hazlehurst, Georgia
KAZO – Kalamazoo/Battle Creek International Airport – Kalamazoo / Battle Creek, Michigan
KAZU – Arrowhead Assault Strip – Fort Chaffee, Arkansas
KBAB – Beale Air Force Base – Marysville, California
KBAC – Barnes County Municipal Airport – Valley City, North Dakota
KBAD – Barksdale Air Force Base – Bossier City, Louisiana
KBAF – Barnes Municipal Airport – Westfield / Springfield, Massachusetts
KBAK – Columbus Municipal Airport – Columbus, Indiana
KBAM – Battle Mountain Airport – Battle Mountain, Nevada
KBAN – Bryant Field – Bridgeport, California
KBAX – Huron County Memorial Airport – Bad Axe, Michigan
KBAZ – New Braunfels Municipal Airport – New Braunfels, Texas
KBBB – Benson Municipal Airport – Benson, Minnesota
KBBD – Curtis Field – Brady, Texas
KBBG – Branson Airport (currently unnamed) – Hollister, Missouri – Branson, Missouri
KBBP – Marlboro County Jetport (H.E. Avent Field) – Bennettsville, South Carolina
KBBW – Broken Bow Municipal Airport – Broken Bow, Nebraska
KBCB – VirginiaTech/Montgomery Executive Airport – Blacksburg, Virginia
KBCE – Bryce Canyon Airport – Bryce Canyon, Utah
KBCK – Black River Falls Area Airport – Black River Falls, Wisconsin
KBCT – Boca Raton Airport – Boca Raton, Florida
KBDE – Baudette International Airport – Baudette, Minnesota
KBDG – Blanding Municipal Airport – Blanding, Utah
KBDH – Willmar Municipal Airport – Willmar, Minnesota
KBDJ – Boulder Junction Airport – Boulder Junction, Wisconsin
KBDL – Bradley International Airport – Windsor Locks, Connecticut (near Hartford)
KBDN – Bend Municipal Airport – Bend, Oregon
KBDQ – Morrilton Municipal Airport – Morrilton, Arkansas
KBDR – Igor I. Sikorsky Memorial Airport – Bridgeport, Connecticut
KBDU – Boulder Municipal Airport – Boulder, Colorado
KBEC – Beech Factory Airport – Wichita, Kansas
KBED – Laurence G. Hanscom Field – Bedford, Massachusetts
KBEH – Southwest Michigan Regional Airport – Benton Harbor, Michigan
KBFA – Boyne Mountain Airport – Boyne Falls, Michigan
KBFD – Bradford Regional Airport – Bradford, Pennsylvania
KBFE – Terry County Airport – Brownfield, Texas
KBFF – Western Nebraska Regional Airport (William B. Heilig Field) – Scottsbluff, Nebraska
KBFI – Boeing Field/King County International Airport – Seattle, Washington
KBFK – Buffalo Municipal Airport – Buffalo, Oklahoma
KBFL – Meadows Field Airport – Bakersfield, California
KBFM – Mobile Downtown Airport – Mobile, Alabama
KBFR – Virgil I. Grissom Municipal Airport – Bedford, Indiana
KBFW – Silver Bay Municipal Airport – Silver Bay, Minnesota
KBGD – Hutchinson County Airport – Borger, Texas
KBGE – Decatur County Industrial Air Park – Bainbridge, Georgia
KBGF – Winchester Municipal Airport – Winchester, Tennessee
KBGM – Greater Binghamton Airport – Binghamton, New York
KBGR – Bangor International Airport – Bangor, Maine
KBHB – Hancock County-Bar Harbor Airport – Bar Harbor, Maine
KBHC – Baxley Municipal Airport – Baxley, Georgia
KBHK – Baker Municipal Airport – Baker, Montana
KBHM – Birmingham-Shuttlesworth International Airport – Birmingham, Alabama
KBID – Block Island State Airport – Block Island, Rhode Island
KBIE – Beatrice Municipal Airport – Beatrice, Nebraska
KBIF – Biggs Army Airfield – Fort Bliss, El Paso, Texas
KBIH – Eastern Sierra Regional Airport – Bishop, California
KBIL – Billings Logan International Airport – Billings, Montana
KBIS – Bismarck Municipal Airport – Bismarck, North Dakota
KBIV – West Michigan Regional Airport – Holland, Michigan
KBIX – Keesler Air Force Base – Biloxi, Mississippi
KBJC – Rocky Mountain Metropolitan Airport – Denver, Colorado
KBJI – Bemidji Regional Airport – Bemidji, Minnesota
KBJJ – Wayne County Airport – Wooster, Ohio
KBJN – Tonopah Test Range Airport – Tonopah, Nevada
KBKD – Stephens County Airport – Breckenridge, Texas
KBKE – Baker City Municipal Airport – Baker City, Oregon
KBKF – Buckley Air Force Base – Aurora, Colorado
KBKL – Cleveland Burke Lakefront Airport – Cleveland, Ohio
KBKN – Blackwell-Tonkawa Municipal Airport  Blackwell, Oklahoma
KBKS – Brooks County Airport – Falfurrias, Texas
KBKT – Allen C. Perkinson Airport / Blackstone Army Airfield – Blackstone, Virginia
KBKV – Hernando County Airport – Brooksville, Florida
KBKW – Beckley Raleigh County Memorial Airport – Beckley, West Virginia
KBKX – Brookings Municipal Airport – Brookings, South Dakota
KBLF – Mercer County Airport – Bluefield, West Virginia
KBLH – Blythe Airport – Blythe, California
KBLI – Bellingham International Airport – Bellingham, Washington
KBLM – Monmouth Executive Airport – Belmar / Farmingdale, New Jersey
KBLU – Blue Canyon-Nyack Airport – Emigrant Gap, California
KBLV – MidAmerica St. Louis Airport / Scott Air Force Base – Belleville, Illinois
KBMC – Brigham City Airport – Brigham City, Utah
KBMG – Monroe County Airport – Bloomington, Indiana
KBMI – Central Illinois Regional Airport – Bloomington, Illinois
KBML – Berlin Regional Airport – Berlin, New Hampshire
KBMQ – Burnet Municipal Airport (Kate Craddock Field) – Burnet, Texas
KBMT – Beaumont Municipal Airport – Beaumont, Texas
KBNA – Nashville International Airport – Nashville, Tennessee
KBNG – Banning Municipal Airport – Banning, California
KBNL – Barnwell County Airport – Barnwell, South Carolina
KBNO – Burns Municipal Airport – Burns, Oregon
KBNW – Boone Municipal Airport – Boone, Iowa
KBOI – Boise Air Terminal (Gowen Field) – Boise, Idaho
KBOK – Brookings State Airport – Brookings, Oregon
KBOS – Logan International Airport – Boston, Massachusetts
KBOW – Bartow Municipal Airport – Bartow, Florida
KBPG – Big Spring McMahon-Wrinkle Airport – Big Spring, Texas
KBPI – Big Piney-Marbleton Airport – Big Piney, Wyoming
KBPK – Ozark Regional Airport (formerly Baxter County Regional Airport) – Mountain Home, Arkansas
KBPP – Bowman Municipal Airport – Bowman, North Dakota
KBPT – Southeast Texas Regional Airport – Nederland, Texas (near Beaumont & Port Arthur)
KBQK – Brunswick Golden Isles Airport – Brunswick, Georgia
KBQR – Buffalo-Lancaster Airport – Lancaster, New York
KBRD – Brainerd Lakes Regional Airport – Brainerd, Minnesota
KBRL – Southeast Iowa Regional Airport – Burlington, Iowa
KBRO – Brownsville/South Padre Island International Airport – Brownsville, Texas
KBRY – Samuels Field – Bardstown, Kentucky
KBST – Belfast Municipal Airport – Belfast, Maine
KBTA – Blair Municipal Airport – Blair, Nebraska
KBTF – Skypark Airport – Bountiful, Utah
KBTL – W. K. Kellogg Airport – Battle Creek, Michigan
KBTM – Bert Mooney Airport – Butte, Montana
KBTN – Britton Municipal Airport – Britton, South Dakota
KBTP – Butler County Airport (K.W. Scholter Field) – Butler, Pennsylvania
KBTR – Baton Rouge Metropolitan Airport – Baton Rouge, Louisiana
KBTV – Burlington International Airport – Burlington, Vermont
KBTY – Beatty Airport – Beatty, Nevada
KBUB – Cram Field – Burwell, Nebraska
KBUF – Buffalo Niagara International Airport – Buffalo, New York
KBUM – Butler Memorial Airport – Butler, Missouri
KBUR – Bob Hope Airport – Burbank, California
KBUU – Burlington Municipal Airport – Burlington, Wisconsin
KBUY – Burlington-Alamance Regional Airport – Burlington, North Carolina
KBVI – Beaver County Airport – Beaver Falls, Pennsylvania
KBVN – Albion Municipal Airport – Albion, Nebraska
KBVO – Bartlesville Municipal Airport – Bartlesville, Oklahoma
KBVS – Skagit Regional Airport – Burlington & Mount Vernon, Washington
KBVU – Boulder City Municipal Airport – Boulder City, Nevada
KBVX – Batesville Regional Airport – Batesville, Arkansas
KBVY – Beverly Municipal Airport – Beverly, Massachusetts
KBWC – Brawley Municipal Airport – Brawley, California
KBWD – Brownwood Regional Airport – Brownwood, Texas
KBWG – Bowling Green-Warren County Regional Airport – Bowling Green, Kentucky
KBWI – Baltimore-Washington International Thurgood Marshall Airport – Baltimore, Maryland & Washington, DC
KBWP – Harry Stern Airport – Wahpeton, North Dakota
KBXA – George R. Carr Memorial Airfield – Bogalusa, Louisiana
KBXG – Burke County Airport – Waynesboro, Georgia
KBXK – Buckeye Municipal Airport – Buckeye, Arizona
KBXM – Brunswick Executive Airport (formerly NAS Brunswick) – Brunswick, Maine
KBYG – Johnson County Airport – Buffalo, Wyoming
KBYH – Arkansas International Airport – Blytheville, Arkansas
KBYI – Burley Municipal Airport – Burley, Idaho
KBYS – Bicycle Lake Army Airfield (Fort Irwin) – Barstow, California
KBYY – Bay City Municipal Airport – Bay City, Texas
KBZN – Gallatin Field Airport – Bozeman, Montana
KCAD – Wexford County Airport – Cadillac, Michigan
KCAE – Columbia Metropolitan Airport – West Columbia, South Carolina (near Columbia)
KCAG – Craig-Moffat Airport – Craig, Colorado
KCAK – Akron-Canton Regional Airport – Akron, Ohio (near Canton)
KCAO – Clayton Municipal Airpark – Clayton, New Mexico
KCAR – Caribou Municipal Airport – Caribou, Maine
KCAV – Clarion Municipal Airport – Clarion, Iowa
KCBE – Greater Cumberland Regional Airport – Cumberland, Maryland
KCBF – Council Bluffs Municipal Airport – Council Bluffs, Iowa
KCBG – Cambridge Municipal Airport – Cambridge, Minnesota
KCBK – Shalz Field – Colby, Kansas
KCBM – Columbus Air Force Base – Columbus, Mississippi
KCCA – Clinton Municipal Airport – Clinton, Arkansas
KCCB – Cable Airport – Upland, California
KCCO – Newnan-Coweta County Airport – Newnan, Georgia
KCCR – Buchanan Field Airport – Concord, California
KCCY – Northeast Iowa Regional Airport – Charles City, Iowa
KCDA – Caledonia County Airport – Lyndonville, Vermont
KCDC – Cedar City Regional Airport – Cedar City, Utah
KCDD – Scotts Seaplane Base – Crane Lake, Minnesota
KCDH – Harrell Field – Camden, Arkansas
KCDI – Cambridge Municipal Airport – Cambridge, Ohio
KCDK – George T. Lewis Airport – Cedar Key, Florida
KCDN – Woodward Field – Camden, South Carolina
KCDR – Chadron Municipal Airport – Chadron, Nebraska
KCDS – Childress Municipal Airport – Childress, Texas
KCDW – Essex County Airport – Caldwell, New Jersey
KCEA – Cessna Aircraft Field – Wichita, Kansas
KCEC – Jack McNamara Field – Crescent City, California
KCEF – Westover Metropolitan Airport / Westover Air Reserve Base – Springfield / Chicopee, Massachusetts
KCEK – Crete Municipal Airport – Crete, Nebraska
KCEU – Oconee County Regional Airport – Clemson, South Carolina
KCEV – Mettel Field – Connersville, Indiana
KCEW – Bob Sikes Airport – Crestview, Florida
KCEY – Murray-Calloway County Airport – Murray, Kentucky
KCEZ – Cortez Municipal Airport – Cortez, Colorado
KCFD – Coulter Field – Bryan, Texas
KCFE – Buffalo Municipal Airport – Buffalo, Minnesota
KCFJ – Crawfordsville Municipal Airport – Crawfordsville, Indiana
KCFS – Tuscola Area Airport – Caro, Michigan
KCFT – Greenlee County Airport – Clifton / Morenci, Arizona
KCFV – Coffeyville Municipal Airport – Coffeyville, Kansas
KCGC – Crystal River Airport – Crystal River, Florida
KCGE – Cambridge-Dorchester Airport – Cambridge, Maryland
KCGF – Cuyahoga County Airport – Cleveland, Ohio
KCGI – Cape Girardeau Regional Airport – Cape Girardeau, Missouri
KCGS – College Park Airport – College Park, Maryland
KCGZ – Casa Grande Municipal Airport – Casa Grande, Arizona
KCHA – Chattanooga Metropolitan Airport – Chattanooga, Tennessee
KCHD – Chandler Municipal Airport – Chandler, Arizona
KCHK – Chickasha Municipal Airport – Chickasha, Oklahoma
KCHN – Wauchula Municipal Airport – Wauchula, Florida
KCHO – Charlottesville-Albemarle Airport – Charlottesville, Virginia
KCHQ – Mississippi County Airport – Charleston, Missouri
KCHS – Charleston International Airport (Charleston Air Force Base) – Charleston, South Carolina
KCHT – Chillicothe Municipal Airport – Chillicothe, Missouri
KCHU – Houston County Airport – Caledonia, Minnesota
KCIC – Chico Municipal Airport – Chico, California
KCID – The Eastern Iowa Airport – Cedar Rapids, Iowa
KCII – Choteau Airport – Choteau, Montana
KCIN – Arthur N. Neu Airport – Carroll, Iowa
KCIR – Cairo Regional Airport – Cairo, Illinois
KCIU – Chippewa County International Airport – Sault Ste Marie, Michigan
KCJJ – Ellen Church Field – Cresco, Iowa
KCJR – Culpeper Regional Airport – Culpeper, Virginia
KCKA – Kegelman Air Force Auxiliary Field – Cherokee, Oklahoma
KCKB – Harrison/Marion Regional Airport – Clarksburg, West Virginia
KCKC – Grand Marais/Cook County Airport – Grand Marais, Minnesota
KCKF – Crisp County-Cordele Airport – Cordele, Georgia
KCKI – Williamsburg Regional Airport – Kingstree, South Carolina
KCKM – Fletcher Municipal Airport (Fletcher Field) – Clarksdale, Mississippi
KCKN – Crookston Municipal Airport – Crookston, Minnesota
KCKP – Cherokee Municipal Airport – Cherokee, Iowa
KCKV – Outlaw Field – Clarksville, Tennessee
KCLE – Cleveland Hopkins International Airport – Cleveland, Ohio
KCLI – Clintonville Municipal Airport – Clintonville, Wisconsin
KCLK – Clinton Regional Airport – Clinton, Oklahoma
KCLL – Easterwood Airport – College Station, Texas
KCLM – William R. Fairchild International Airport – Port Angeles, Washington
KCLR – Cliff Hatfield Memorial Airport – Calipatria, California
KCLS – Chehalis-Centralia Airport – Chehalis, Washington
KCLT – Charlotte/Douglas International Airport – Charlotte, North Carolina
KCLW – Clearwater Air Park – Clearwater, Florida
KCMA – Camarillo Airport – Camarillo, California
KCMH – Port Columbus International Airport – Columbus, Ohio
KCMI – University of Illinois Willard Airport – Savoy, Illinois (Champaign-Urbana area)
KCMR – H.A. Clark Memorial Field – Williams, Arizona
KCMX – Houghton County Memorial Airport – Hancock, Michigan
KCMY – Sparta/Fort McCoy Airport – Sparta, Wisconsin
KCNC – Chariton Municipal Airport – Chariton, Iowa
KCNH – Claremont Municipal Airport – Claremont, New Hampshire
KCNI – Cherokee County Airport – Canton, Georgia
KCNK – Blosser Municipal Airport – Concordia, Kansas
KCNM – Cavern City Air Terminal – Carlsbad, New Mexico
KCNO – Chino Airport – Chino, California
KCNP – Billy G. Ray Field – Chappell, Nebraska
KCNU – Chanute Martin Johnson Airport – Chanute, Kansas
KCNW – TSTC Waco Airport – Waco, Texas
KCNY – Canyonlands Field – Moab, Utah
KCOD – Yellowstone Regional Airport – Cody, Wyoming
KCOE – Coeur d'Alene Air Terminal – Coeur d'Alene, Idaho
KCOF – Patrick Air Force Base – Cocoa Beach, Florida
KCOI – Merritt Island Airport – Merritt Island, Florida
KCOM – Coleman Municipal Airport – Coleman, Texas
KCON – Concord Municipal Airport – Concord, New Hampshire
KCOQ – Cloquet Carlton County Airport – Cloquet, Minnesota
KCOS – Colorado Springs Airport (City of Colorado Springs Municipal Airport) – Colorado Springs, Colorado
KCOT – Cotulla-La Salle County Airport – Cotulla, Texas
KCOU – Columbia Regional Airport – Columbia, Missouri
KCPC – Columbus County Municipal Airport – Whiteville, North Carolina
KCPK – Chesapeake Regional Airport – Norfolk, Virginia
KCPM – Compton/Woodley Airport – Compton, California
KCPR – Natrona County International Airport – Casper, Wyoming
KCPS – St. Louis Downtown Airport – Cahokia, Illinois (near St. Louis, Missouri)
KCPT – Cleburne Municipal Airport – Cleburne, Texas
KCPU – Calaveras County Airport (Maury Rasmussen Field) – San Andreas, California
KCQA – Lakefield Airport – Celina, Ohio
KCQB – Chandler Regional Airport – Chandler, Oklahoma
KCQC – Moriarty Municipal Airport – Moriarty, New Mexico
KCQF – H. L. Sonny Callahan Airport – Fairhope, Alabama
KCQM – Cook Municipal Airport – Cook, Minnesota
KCQW – Cheraw Municipal Airport – Chesterfield County, South Carolina
KCQX – Chatham Municipal Airport – Chatham, Massachusetts
KCRE – Grand Strand Airport – North Myrtle Beach, South Carolina
KCRG – Craig Municipal Airport – Jacksonville, Florida
KCRO – Corcoran Airport – Corcoran, California
KCRP – Corpus Christi International Airport – Corpus Christi, Texas
KCRQ – McClellan-Palomar Airport – Carlsbad, California
KCRS – Corsicana Municipal Airport (C. David Campbell Field) – Corsicana, Texas
KCRT – Z.M. Jack Stell Field – Crossett, Arkansas
KCRW – Yeager Airport – Charleston, West Virginia
KCRX – Roscoe Turner Airport – Corinth, Mississippi
KCRZ – Corning Municipal Airport – Corning, Iowa
KCSB – Cambridge Municipal Airport – Cambridge, Nebraska
KCSG – Columbus Airport – Columbus, Georgia
KCSM – Clinton-Sherman Airport – Clinton, Oklahoma
KCSQ – Creston Municipal Airport – Creston, Iowa
KCSV – Crossville Memorial Airport (Whitson Field) – Crossville, Tennessee
KCTB – Cut Bank Municipal Airport – Cut Bank, Montana
KCTJ – West Georgia Regional Airport (O.V. Gray Field) – Carrollton, Georgia
KCTK – Ingersoll Airport – Canton, Illinois
KCTY – Cross City Airport – Cross City, Florida
KCTZ – Sampson County Airport – Clinton, North Carolina
KCUB – Columbia Owens Downtown Airport – Columbia, South Carolina
KCUH – Cushing Municipal Airport – Cushing, Oklahoma
KCUL – Carmi Municipal Airport – Carmi, Illinois
KCUT – Custer County Airport – Custer, South Dakota
KCVG – Cincinnati/Northern Kentucky International Airport – Hebron, Kentucky (near Cincinnati, Ohio and Covington, Kentucky)
KCVH – Hollister Municipal Airport – Hollister, California
KCVK – Sharp County Regional Airport – Ash Flat, Arkansas
KCVN – Clovis Municipal Airport – Clovis, New Mexico
KCVO – Corvallis Municipal Airport – Corvallis, Oregon
KCVS – Cannon Air Force Base – Clovis, New Mexico
KCVX – Charlevoix Municipal Airport – Charlevoix, Michigan
KCWA – Central Wisconsin Airport – Mosinee, Wisconsin
KCWC – Kickapoo Downtown Airpark – Wichita Falls, Texas
KCWF – Chennault International Airport – Lake Charles, Louisiana
KCWI – Clinton Municipal Airport – Clinton, Iowa
KCWV – Claxton-Evans County Airport – Claxton, Georgia
KCXE – Chase City Municipal Airport – Chase City, Virginia
KCXL – Calexico International Airport – Calexico, California
KCXO – Lone Star Executive Airport – Houston, Texas
KCXP – Carson City Airport – Carson City, Nevada
KCXU – Camilla-Mitchell County Airport – Camilla, Georgia
KCXW – Conway Municipal Airport / Cantrell Field – Conway, Arkansas
KCXY – Capital City Airport – Harrisburg, Pennsylvania
KCYO – Pickaway County Memorial Airport – Circleville, Ohio
KCYS – Cheyenne Regional Airport (Jerry Olson Field) – Cheyenne, Wyoming
KCYW – Clay Center Municipal Airport – Clay Center, Kansas
KCZD – Cozad Municipal Airport – Cozad, Nebraska
KCZG – Tri-Cities Airport – Endicott, New York
KCZK – Cascade Locks State Airport – Cascade Locks, Oregon
KCZL – Tom B. David Field – Calhoun, Georgia
KCZT – Dimmit County Airport – Carrizo Springs, Texas
KDAA – Davison Army Airfield – Fort Belvoir, Virginia
KDAB – Daytona Beach International Airport – Daytona Beach, Florida
KDAF – Necedah Airport – Necedah, Wisconsin
KDAG – Barstow-Daggett Airport – Daggett, California
KDAL – Dallas Love Field – Dallas, Texas
KDAN – Danville Regional Airport – Danville, Virginia
KDAW – Skyhaven Airport – Rochester, New Hampshire
KDAY – James M. Cox International Airport – Dayton, Ohio
KDBN – W. H. 'Bud' Barron Airport – Dublin, Georgia
KDBQ – Dubuque Regional Airport – Dubuque, Iowa
KDCA – Ronald Reagan Washington National Airport – Arlington County, Virginia (near Washington, DC)
KDCU – Pryor Field Regional Airport – Decatur, Alabama
KDCY – Daviess County Airport – Washington, Indiana
KDDC – Dodge City Regional Airport – Dodge City, Kansas
